Position,Name,Age,Rookie Year,Pot,FIQ,Dur,Attr1,Att2,Attr3,Contract Money,Contract Years
Baltimore Ravens,BAL,,,,,,,,,,
OL,Marshal Yanda,33,2007,92,96,93,93,94,89,20.25,2
CB,Jimmy Smith,30,2011,89,88,87,92,89,72,31.85,2
DL,Brandon Williams,29,2013,89,97,87,96,85,92,48.68,4
DL,Michael Pierce,25,2016,87,85,87,94,83,87,0.633,1
LB,Terrell Suggs,35,2003,86,85,88,88,88,65,6.95,1
K,Justin Tucker,28,2012,86,73,95,98,98,15,10.194,2
S,Eric Weddle,33,2007,86,88,95,82,85,77,16.5,2
WR,Michael Crabtree,30,2009,84,93,85,87,87,72,21,3
S,Tony Jefferson,26,2013,84,89,82,81,85,74,29.481,3
K,Sam Koch,35,2006,84,72,85,91,95,21,10.75,3
LB,C.J. Mosley,26,2014,84,84,86,94,83,76,8.718,1
RB,Alex Collins,23,2016,81,85,91,82,89,78,0.63,1
CB,Brandon Carr,32,2008,80,83,97,78,87,67,21,3
CB,Marlon Humphrey,22,2017,80,74,89,82,92,71,9.693,3
LB,Matthew Judon,25,2016,80,75,84,82,78,77,1.478,2
WR,John Brown,28,2014,79,79,87,86,93,92,5,1
QB,Joe Flacco,33,2008,79,82,95,97,79,52,75,4
DL,Willie Henry,24,2016,79,80,87,86,78,78,1.542,2
QB,Lamar Jackson,21,2018,79,62,90,94,81,85,9.47,4
OL,Ronnie Stanley,24,2016,79,86,91,87,84,79,12.103,2
CB,Tavon Young,24,2016,79,74,91,83,90,62,1.652,2
WR,Hayden Hurst,24,2018,78,58,90,85,83,75,11.036,4
S,Anthony Levine Sr.,31,2010,78,76,88,80,86,66,3.166,2
RB,Patrick Ricard,24,2017,78,71,79,68,71,61,1.2,2
OL,Orlando Brown,22,2018,76,59,93,90,83,80,3.492,4
WR,Willie Snead IV,25,2014,76,74,90,83,89,76,7,2
WR,Mark Andrews,21,2018,75,54,88,83,86,72,3.453,4
WR,Nick Boyle,25,2015,75,77,92,82,72,36,0.705,1
DL,Carl Davis,26,2015,75,80,84,88,77,76,0.877,1
RB,Javorius Allen,26,2015,74,79,89,87,88,69,0.705,1
RB,Kenneth Dixon,24,2016,74,75,85,82,87,78,1.35,2
LB,Patrick Onwuasor,25,2016,74,78,89,81,86,57,0.63,1
WR,Breshad Periman,24,2015,74,68,76,79,95,78,2.119,1
LB,Za'Darius Smith,25,2015,74,74,88,80,80,57,2.028,1
WR,Maxx Williams,24,2015,74,65,83,83,80,64,1.289,1
CB,Maurice Canady,24,2016,73,68,88,75,89,69,1.4,2
OL,James Hurst,26,2014,73,80,87,78,71,79,17.5,4
LB,Albert McClellan,32,2010,73,72,91,79,81,61,1.45,1
OL,Nico Siragusa,24,2017,73,61,90,89,81,74,2.331,3
LB,Tim Williams,24,2017,73,66,88,76,80,59,2.717,3
LB,Tyus Bowser,23,2017,72,65,88,79,78,54,4.562,3
DL,Brent Urban,27,2014,72,74,74,79,80,78,1,1
QB,Robert Griffin III,28,2012,71,68,73,92,76,77,1,1
WR,Vince Mayle,27,2015,71,55,91,78,83,62,0.63,1
WR,Chris Moore,25,2016,71,74,89,81,90,68,1.648,2
CB,Anthony Averett,23,2018,70,55,92,75,94,50,3.121,4
DL,Brandon Kaufusi,27,2016,70,62,90,81,79,71,1.979,2
OL,Alex Lewis,24,2016,70,74,89,85,74,73,1.596,2
DL,Chris Wormley,24,2017,70,63,90,83,80,67,2.871,3
LB,Kenny Young,22,2018,70,58,89,84,84,72,3.1,4
LB,Kamalei Correa,24,2016,69,72,89,82,76,59,3.397,2
WR,Jaleel Scott,23,2018,69,59,89,80,87,60,3.04,4
CB,Stanley Jean-Baptiste,28,2014,68,51,86,76,86,48,0.63,1
WR,Jordan Lasley,21,2018,68,54,91,75,89,81,2.729,4
S,DeShon Elliott,21,2018,67,52,88,75,86,70,2.618,4
S,Kai Nacua,23,2017,67,58,88,68,88,67,0.555,1
DL,Zach Sieler,22,2018,67,50,88,88,76,73,2.541,4
CB,Jaylen Hill,24,2017,66,58,82,74,84,59,1.2,2
LB,Bam Bradley,24,2017,65,58,81,78,77,64,1.202,2
S,Chuck Clark,23,2017,65,57,93,64,88,70,2.067,3
OL,Jermaine Eluemunor,23,2017,65,59,92,92,72,72,2.136,3
OL,Matt Skura,25,2016,65,71,90,86,71,71,0.555,1
OL,Bradley Bozeman,23,2018,64,60,88,80,74,72,2.578,4
CB,Darious Williams,25,2018,64,45,88,70,91,60,1.71,3
WR,Quincy Adeboyejo,23,2017,63,50,88,75,92,69,0.48,1
OL,Greg Senat,23,2018,63,52,90,74,73,73,2.578,4
OL,Maurquice Shakir,24,2017,63,55,90,84,73,69,0.555,1
OL,Andrew Donnal,26,2015,62,64,84,77,73,70,0.705,1
RB,Gus Edwards,23,2018,61,52,88,80,88,71,1.71,3
LB,Alvin Jones,23,2018,59,48,85,84,79,58,1.71,3
QB,Josh Woodrum,25,2016,59,52,87,91,72,65,0.48,1
OL,Alex Thompson,23,2018,57,50,83,79,71,68,1.71,3
WR,Tim White,24,2017,55,49,85,76,89,81,1.204,2
WR,Morgan Cox,32,2010,41,73,90,58,67,40,3.62,3
END_PLAYERS,,,,,,,,,,,
